design,model,phage,spearman,r2,mae,equal_cc_mae
leave_one_cc_out,isolate_mean,p003p,-0.2993427582292416,-0.07478306518939282,0.09714238483001471,0.13860561592107798
leave_one_cc_out,isolate_mean,p0040,-0.2931425762587826,-0.11050075548951988,0.2191749424002127,0.17982034947613468
leave_one_cc_out,isolate_mean,p11,-0.279664316769817,-0.057250427834246276,0.2153770925443097,0.15827755302996244
leave_one_cc_out,isolate_mean,pyo,-0.40470902267594955,-0.12136172160636227,0.10528707004895053,0.14415944875661332
leave_one_cc_out,lineage_mean,p0006,-0.40773678115981726,-0.4887260527918935,0.22262485552863215,0.24957781192703268
leave_one_cc_out,lineage_mean,p0017,-0.441013683815755,-0.10264766509688372,0.2535427049738093,0.24031671024207638
leave_one_cc_out,lineage_mean,p0017S,-0.34116949340564157,-0.2423015103194659,0.11367253127360323,0.1275016145323064
leave_one_cc_out,lineage_mean,p002y,-0.3963298997756715,-0.5401648809589021,0.12104627513994887,0.12365785146705148
leave_one_cc_out,lineage_mean,p003p,-0.40518015705817567,-0.634604686149778,0.13091687296209611,0.14026324229460568
leave_one_cc_out,lineage_mean,p0040,-0.4562765734880606,-0.11327253058750886,0.21690243805446124,0.169101114060376
leave_one_cc_out,lineage_mean,p11,-0.3095569488817731,-0.049531848154214186,0.20392579678356107,0.14366860853915278
leave_one_cc_out,lineage_mean,pyo,-0.44593433019068,-0.5818933296820827,0.1474320014924629,0.1535272463411161
leave_one_cc_out,pooled_ridge,p0006,0.1922573178325928,-0.20168533726615911,0.17456520689419242,0.24023125439026122
leave_one_cc_out,pooled_ridge,p0017,0.09971206922321275,-0.22203907846553772,0.2645974318705078,0.28135965145362274
leave_one_cc_out,pooled_ridge,p0017S,0.28414492109558026,-0.10252564023116717,0.09076450831329895,0.12499753244348775
leave_one_cc_out,pooled_ridge,p002y,0.2031246467663078,-0.3515180967963085,0.0946976444502218,0.1273928001093673
leave_one_cc_out,pooled_ridge,p003p,0.20631931514536558,-0.304837617135846,0.09616446467526994,0.14073975400192992
leave_one_cc_out,pooled_ridge,p0040,0.0023288130129335664,-0.5048544813529305,0.24998277740075422,0.25559458200479507
leave_one_cc_out,pooled_ridge,p11,0.1550466276398293,-0.48502523042648016,0.2380991185238474,0.22180316958885377
leave_one_cc_out,pooled_ridge,pyo,0.37436192555725273,-0.0830051119738644,0.09664641097381596,0.15267394524418873
leave_one_cc_out,within_lineage_ridge,p0006,0.21183489282247203,-0.3122062100367715,0.1954045634206923,0.24441827486550569
leave_one_cc_out,within_lineage_ridge,p0017,0.060279616104064834,-0.21618756103400472,0.2651887300363347,0.27402827056626655
