cc,phage,n_x,mean_od600,sd_od600,S_fraction,SS_fraction,R_fraction,n_y,mean_broad_permissiveness,sd_broad_permissiveness
22,p002y,6,0.3919333333333333,0.05846272886777237,0.6666666666666666,0.3333333333333333,0.0,6,-0.3968838823776979,0.2514480410909045
22,p003p,6,0.3979,0.0840383959865965,0.6666666666666666,0.3333333333333333,0.0,6,-0.3968838823776979,0.2514480410909045
22,p0040,6,0.6547333333333333,0.10425069144454951,0.0,0.6666666666666666,0.3333333333333333,6,-0.3968838823776979,0.2514480410909045
22,p11,6,0.8315666666666667,0.07850805478845253,0.0,0.0,1.0,6,-0.3968838823776979,0.2514480410909045
22,pyo,6,0.272074074,0.06954791116904198,1.0,0.0,0.0,6,-0.3968838823776979,0.2514480410909045
25,p0006,4,0.6421250000000001,0.23422642001561936,0.25,0.25,0.5,4,-0.39663222631593836,0.6223436643774731
25,p0017,4,0.31525000000000003,0.0964212884404607,0.75,0.25,0.0,4,-0.39663222631593836,0.6223436643774731
25,p0017S,4,0.3657,0.06255243134096922,0.75,0.25,0.0,4,-0.39663222631593836,0.6223436643774731
25,p002y,4,0.37915,0.09755895653398514,0.5,0.5,0.0,4,-0.39663222631593836,0.6223436643774731
25,p003p,4,0.33825,0.06317080021655573,0.75,0.25,0.0,4,-0.39663222631593836,0.6223436643774731
25,p0040,4,0.6347,0.12073999613494556,0.0,0.75,0.25,4,-0.39663222631593836,0.6223436643774731
25,p11,4,0.8267249999999999,0.2472095113461454,0.0,0.25,0.75,4,-0.39663222631593836,0.6223436643774731
25,pyo,4,0.345861111,0.16737689118176016,0.5,0.5,0.0,4,-0.39663222631593836,0.6223436643774731
30,p0006,31,0.4416387097096774,0.25806852035105937,0.6129032258064516,0.22580645161290322,0.16129032258064516,31,-0.10738855131894542,0.4582213298983398
30,p0017,31,0.5319946235806451,0.19356829342429396,0.25806451612903225,0.5161290322580645,0.22580645161290322,31,-0.10738855131894542,0.4582213298983398
30,p0017S,31,0.25264516129032255,0.08282945912797196,0.9032258064516129,0.0967741935483871,0.0,31,-0.10738855131894542,0.4582213298983398
30,p002y,31,0.26414193548387094,0.08527792318528694,0.9354838709677419,0.06451612903225806,0.0,31,-0.10738855131894542,0.4582213298983398
30,p003p,31,0.26209784945161296,0.09239460180690501,0.9032258064516129,0.0967741935483871,0.0,31,-0.10738855131894542,0.4582213298983398
30,p0040,31,0.724184677419355,0.2031974525838332,0.0967741935483871,0.2903225806451613,0.6129032258064516,31,-0.10738855131894542,0.4582213298983398
30,p11,31,0.8942653225806452,0.14418348346196178,0.0,0.06451612903225806,0.9354838709677419,31,-0.10738855131894542,0.4582213298983398
30,pyo,31,0.2989444444516129,0.11763926828503603,0.8064516129032258,0.1935483870967742,0.0,31,-0.10738855131894542,0.4582213298983398
398,p0006,2,0.8115666665,0.2726132341377513,0.0,0.5,0.5,2,-1.084557621892745,0.3246148097512963
398,p0017,2,0.3881666665,0.219674506924323,0.5,0.5,0.0,2,-1.084557621892745,0.3246148097512963
398,p0017S,2,0.35941666650000004,0.2171996331901701,0.5,0.5,0.0,2,-1.084557621892745,0.3246148097512963
398,p002y,2,0.4624625,0.08649683700864444,0.0,1.0,0.0,2,-1.084557621892745,0.3246148097512963
398,p003p,2,0.5317166664999999,0.12037314414828766,0.0,1.0,0.0,2,-1.084557621892745,0.3246148097512963
398,p0040,2,0.76525,0.27966073195927954,0.0,0.5,0.5,2,-1.084557621892745,0.3246148097512963
398,p11,2,0.8917125,0.27989054166316524,0.0,0.5,0.5,2,-1.084557621892745,0.3246148097512963
398,pyo,2,0.5407083335,0.021154278106199773,0.0,1.0,0.0,2,-1.084557621892745,0.3246148097512963
45,p0006,9,0.7152148147777777,0.22099876763666298,0.1111111111111111,0.3333333333333333,0.5555555555555556,9,-0.8210771069881894,0.487247183951561
45,p0017,9,0.46682407400000003,0.2705021258772092,0.5555555555555556,0.2222222222222222,0.2222222222222222,9,-0.8210771069881894,0.487247183951561
45,p0017S,9,0.3667851852222222,0.13904492795064033,0.6666666666666666,0.3333333333333333,0.0,9,-0.8210771069881894,0.487247183951561
45,p002y,9,0.445625,0.1338950568542394,0.3333333333333333,0.5555555555555556,0.1111111111111111,9,-0.8210771069881894,0.487247183951561
45,p003p,9,0.4389703703333333,0.13350468932805065,0.5555555555555556,0.4444444444444444,0.0,9,-0.8210771069881894,0.487247183951561
45,p0040,9,0.7008583333333334,0.21793792335777637,0.1111111111111111,0.4444444444444444,0.4444444444444444,9,-0.8210771069881894,0.487247183951561
45,p11,9,0.899975,0.10109356124402778,0.0,0.0,1.0,9,-0.8210771069881894,0.487247183951561
45,pyo,9,0.4210061727777778,0.18617884424814565,0.4444444444444444,0.4444444444444444,0.1111111111111111,9,-0.8210771069881894,0.487247183951561
