n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
23,9,14,7,0,14,2,0.7777777777777778,0.0,0.3888888888888889,-0.3849001794597505,0.30434782608695654,0.3333333333333333,0.0,127
21,6,15,5,0,15,1,0.8333333333333334,0.0,0.4166666666666667,-0.35355339059327373,0.23809523809523808,0.25,0.0,128
45,10,35,9,8,27,1,0.9,0.22857142857142856,0.5642857142857143,0.1336306209562122,0.37777777777777777,0.25,0.8888888888888888,129
41,11,30,9,2,28,2,0.8181818181818182,0.06666666666666667,0.44242424242424244,-0.17194746164433358,0.2682926829268293,0.24324324324324326,0.5,130
31,8,23,5,0,23,3,0.625,0.0,0.3125,-0.5550096524257162,0.16129032258064516,0.17857142857142858,0.0,131
30,10,20,8,0,20,2,0.8,0.0,0.4,-0.37796447300922725,0.26666666666666666,0.2857142857142857,0.0,132
37,10,27,9,2,25,1,0.9,0.07407407407407407,0.48703703703703705,-0.042180922353627595,0.2972972972972973,0.2647058823529412,0.6666666666666666,133
37,12,25,12,4,21,0,1.0,0.16,0.58,0.2412090756622109,0.43243243243243246,0.36363636363636365,1.0,134
47,8,39,8,6,33,0,1.0,0.15384615384615385,0.5769230769230769,0.173259232729684,0.2978723404255319,0.1951219512195122,1.0,135
33,9,24,9,4,20,0,1.0,0.16666666666666666,0.5833333333333334,0.227429413073671,0.3939393939393939,0.3103448275862069,1.0,136
36,11,25,11,2,23,0,1.0,0.08,0.54,0.16087993330796874,0.3611111111111111,0.3235294117647059,1.0,137
18,10,8,9,0,8,1,0.9,0.0,0.45,-0.21693045781865616,0.5,0.5294117647058824,0.0,138
24,10,14,9,2,12,1,0.9,0.14285714285714285,0.5214285714285715,0.06388765649999399,0.4583333333333333,0.42857142857142855,0.6666666666666666,139
42,10,32,10,4,28,0,1.0,0.125,0.5625,0.18136906252750293,0.3333333333333333,0.2631578947368421,1.0,140
